Id,Label,timeset,modularity_class,Availability_Status,Research_Notes,Contact_Required,Strategic_Priority
06A0001,06 Agencies,,1,Unknown,Limited information available - requires direct contact,Yes,Low
AEC001,A&E Connock,,2,Unknown,Limited information available - requires direct contact,Yes,Low
AKU001,AECI,,3,Unknown,Limited information available - requires direct contact,Yes,Medium
BOT0003,Botanichem,,4,Available,Full-service agency with BASF Care Creations and multiple international suppliers,No,High
CAR0002,Carst&Walker div of Zenith Ho,,5,Available,Multinational distributor with comprehensive consumer specialties division,No,High
CHE0004,Chempure (Pty) Ltd,,6,Unknown,Limited information available - requires direct contact,Yes,Medium
CJP0001,CJP Chemicals (Pty) Ltd,,7,Unknown,Limited information available - requires direct contact,Yes,Medium
CLI0001,Clive Teubes CC / Scatters Oils,,8,Unknown,Limited information available - requires direct contact,Yes,Low
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Unknown,Limited information available - requires direct contact,Yes,Medium
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,Available,Global leader with South African Centre of Excellence and 755+ ingredients,No,High
CTE0001,Chemgrit Cosmetics (C-Tec),,11,Unknown,Limited information available - requires direct contact,Yes,Medium
EVO0001,Protea Chemicals,,12,Unknown,Limited information available - requires direct contact,Yes,Low
HEX0001,Orkila,,13,Unknown,Limited information available - requires direct contact,Yes,Low
LIP0001,Vantage Speciality Chemicals,,14,Unknown,Limited information available - requires direct contact,Yes,Medium
Maccullum,Exsymol,,15,Unknown,Limited information available - requires direct contact,Yes,Low
MAT0002,Materia Medica,,16,Unknown,Limited information available - requires direct contact,Yes,Low
MEG0001,Meganede CC,,17,Available,Distributor for Silab and 5 other international suppliers,Yes,High
MER0001,Merck (Pty) Ltd,,18,Unknown,Limited information available - requires direct contact,Yes,Medium
MIL0001,Millchem,,19,Unknown,Limited information available - requires direct contact,Yes,Low
NAT0001,Natchem CC,,20,Available,Distributor for Greentech botanicals and Payan Bertrand fragrances,Yes,High
ORC0001,Orchem,,21,Unknown,Limited information available - requires direct contact,Yes,Medium
SAV0001,Savannah Fine Chem (Pty) Ltd,,22,Unknown,Limited information available - requires direct contact,Yes,Medium
SIY0002,IMCD South Africa (Pty) Ltd,,23,Unknown,Limited information available - requires direct contact,Yes,Medium
R1907000,Perf Citrus Therm 701081,,1,Unknown,Requires verification with 06 Agencies,Yes,Low
R1908000,Azulene Pure (659833) *GRAM,,2,Unknown,Requires verification with A&E Connock,Yes,Low
R1902003,Iselux Ultra Mild,,3,Unknown,Requires verification with AECI,Yes,Medium
R1905039,Epigenist LS10003,,4,Available,BASF Care Creations ingredient via Botanichem,No,High
R1905042,Eperuline PW LS 9627,,4,Available,BASF Care Creations ingredient via Botanichem,No,High
R1905011,CM-Glucan Granulate,,5,Available,Advanced peptide ingredient via Carst&Walker,No,High
R1905012,Perfection Peptide P3,,5,Available,Advanced peptide ingredient via Carst&Walker,No,High
R1905023,AquaCacteen,,5,Available,Natural active ingredient via Carst&Walker,No,High
R1905024,Happybelle-PE,,5,Available,Natural active ingredient via Carst&Walker,No,High
R1905047,Gatuline Derma - Sensitive,,5,Available,Sensitive skin active via Carst&Walker,No,High
R1911000,Sucragel AOF,,5,Available,Rheology modifier via Carst&Walker,No,Medium
R1911001,Carbopol Ultrez 30,,5,Available,Rheology modifier via Carst&Walker,No,Medium
R1911003,Carbopol EDT 2050,,5,Available,Rheology modifier via Carst&Walker,No,Medium
R1905016,Regu-Stretch,,6,Unknown,Requires verification with Chempure,Yes,Medium
R1905017,Alpaflor Imperatoria,,6,Unknown,Requires verification with Chempure,Yes,Medium
R1905021,L-Carnitine,,6,Unknown,Requires verification with Chempure,Yes,Medium
R1901001,Pomegranate Seed Oil,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1901006,Borage Oil Refined GLA 20PCT,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1902000,Oronal LCG,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1902001,Proteol OAT,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1905014,Sepicalm S,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1906000,Montanov L,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1906001,Montanov S,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1911002,Sepimax Zen,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium
R1913014,Grapefruit Oil Pink,,8,Unknown,Requires verification with Clive Teubes CC,Yes,Low
R1905004,Hyaluronic Acid HMW,,9,Unknown,Requires verification with Cosmetic Ingredients,Yes,High
R1901005,Arlamol LST-LQ-(MH),,10,Available,Croda emollient ingredient,No,High
R1905002,Chronodyn,,10,Available,Croda anti-aging active,No,High
R1905003,Biopeptide CL,,10,Available,Croda peptide ingredient,No,High
R1905025,Skin Tightener-ST(TM) PH,,10,Available,Croda firming active,No,High
R1905026,Beautifeye,,10,Available,Croda eye care active,No,High
R1905033,Evermat,,10,Available,Croda mattifying active,No,High
R1905034,Intenslim,,10,Available,Croda slimming active,No,High
R1901002,Cetiol Sensoft,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1901003,Cetiol B,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1905019,Exfo-Bio,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1905029,Cosmedia DC,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1905030,Uvinul T150,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1905043,Cetiol SB45,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium
R1905015,Aerosil R972,,12,Unknown,Requires verification with Protea Chemicals,Yes,Low
R1905022,Drieline 1S,,13,Unknown,Requires verification with Orkila,Yes,Low
